column,non_null_pct,dtype
season,100.0,str
gameweek,100.0,int64
match_id,100.0,str
kickoff_time,100.0,"datetime64[us, UTC]"
team_code,100.0,int64
team_name,100.0,str
opponent_code,100.0,int64
opponent_name,100.0,str
is_home,100.0,int64
player_id,100.0,int64
player_code,100.0,int64
web_name,100.0,str
fpl_position,100.0,str
status,100.0,str
is_starter,100.0,int64
formation,100.0,str
in_matchday_squad,100.0,int64
minutes_played,100.0,int64
player_position,100.0,str
position_is_inferred,100.0,int64
is_available,100.0,int64
availability_score,100.0,float64
days_since_prev_match,100.0,int64
days_until_next_match,100.0,int64
is_new_signing,100.0,int64
is_new_to_league,100.0,int64
has_history,100.0,int64
opp_elo,100.0,float64
opp_strength_overall,100.0,float64
opp_strength_attack,100.0,float64
opp_strength_defence,100.0,float64
started_last_1,100.0,int64
started_last_3,100.0,int64
started_last_5,100.0,int64
start_rate_last_5,100.0,float64
starts_season,100.0,int64
minutes_season,100.0,float64
consecutive_starts,100.0,int64
days_since_last_start,100.0,int64
was_unused_sub_last_match,100.0,int64
goals_scored,100.0,int64
assists,100.0,int64
expected_goals,100.0,float64
expected_assists,100.0,float64
expected_goal_involvements,100.0,float64
clean_sheets,100.0,int64
goals_conceded,100.0,int64
expected_goals_conceded,100.0,float64
defensive_contribution,100.0,int64
tackles,100.0,int64
clearances_blocks_interceptions,100.0,int64
recoveries,100.0,int64
yellow_cards,100.0,int64
red_cards,100.0,int64
minutes,100.0,int64
starts,100.0,int64
form,100.0,float64
points_per_game,77.3,float64
total_points,100.0,int64
bonus,100.0,int64
bps,100.0,int64
ict_index,100.0,float64
influence,100.0,float64
creativity,100.0,float64
threat,100.0,float64
selected_by_percent,100.0,float64
now_cost,100.0,float64
penalties_order,100.0,int64
corners_and_indirect_freekicks_order,100.0,int64
direct_freekicks_order,100.0,int64
yellows_from_ban,100.0,int64
gk_saves,100.0,float64
gk_penalties_saved,100.0,float64
gk_saves_per_90,97.3,float64
gk_clean_sheets_per_90,97.3,float64
gk_goals_conceded_per_90,97.3,float64
f5_minutes_played,75.0,float64
f5_accurate_passes,75.0,float64
f5_accurate_passes_percent,75.0,float64
f5_final_third_passes,73.8,float64
f5_chances_created,75.0,float64
f5_xg,75.0,float64
f5_xa,75.0,float64
f5_total_shots,75.0,float64
f5_shots_on_target,75.0,float64
f5_touches_opposition_box,73.8,float64
f5_successful_dribbles,75.0,float64
f5_tackles_won,75.0,float64
f5_interceptions,75.0,float64
f5_clearances,75.0,float64
f5_blocks,73.8,float64
f5_aerial_duels_won,75.0,float64
f5_duels_won,75.0,float64
f5_dribbled_past,73.8,float64
f5_recoveries,75.0,float64
f5_saves,75.0,float64
f5_goals_conceded,75.0,float64
f5_goals_prevented,73.8,float64
f5_xgot_faced,73.8,float64
f5_fouls_committed,75.0,float64
f5_was_fouled,75.0,float64
is_set_piece_taker,100.0,int64
