feature,block,r,p,null_pct,abs_r
start_rate_last_5,history,0.6873,0.0,0.0,0.6873
started_last_3,history,0.6806,0.0,0.0,0.6806
started_last_1,history,0.6666,0.0,0.0,0.6666
started_last_5,history,0.6663,0.0,0.0,0.6663
form,season_stats,0.6043,0.0,0.0,0.6043
points_per_game,season_stats,0.5954,0.0,22.7,0.5954
f5_minutes_played,form_last5,0.5895,0.0,25.0,0.5895
minutes,season_stats,0.5183,0.0,0.0,0.5183
minutes_season,history,0.5182,0.0,0.0,0.5182
starts,season_stats,0.5162,0.0,0.0,0.5162
starts_season,history,0.5161,0.0,0.0,0.5161
influence,season_stats,0.5014,0.0,0.0,0.5014
bps,season_stats,0.4994,0.0,0.0,0.4994
total_points,season_stats,0.4977,0.0,0.0,0.4977
defensive_contribution,season_stats,0.493,0.0,0.0,0.493
expected_goals_conceded,season_stats,0.4917,0.0,0.0,0.4917
consecutive_starts,history,0.4849,0.0,0.0,0.4849
position_is_inferred,position,-0.4785,0.0,0.0,0.4785
clean_sheets,season_stats,0.4762,0.0,0.0,0.4762
goals_conceded,season_stats,0.4745,0.0,0.0,0.4745
recoveries,season_stats,0.4628,0.0,0.0,0.4628
ict_index,season_stats,0.4612,0.0,0.0,0.4612
f5_recoveries,form_last5,0.4516,0.0,25.0,0.4516
was_unused_sub_last_match,history,-0.4479,0.0,0.0,0.4479
f5_duels_won,form_last5,0.4248,0.0,25.0,0.4248
f5_accurate_passes,form_last5,0.4244,0.0,25.0,0.4244
tackles,season_stats,0.4105,0.0,0.0,0.4105
f5_final_third_passes,form_last5,0.405,0.0,26.2,0.405
clearances_blocks_interceptions,season_stats,0.3946,0.0,0.0,0.3946
yellow_cards,season_stats,0.394,0.0,0.0,0.394
bonus,season_stats,0.3821,0.0,0.0,0.3821
yellows_from_ban,season_stats,-0.3755,0.0,0.0,0.3755
creativity,season_stats,0.3679,0.0,0.0,0.3679
expected_assists,season_stats,0.3388,0.0,0.0,0.3388
f5_accurate_passes_percent,form_last5,0.3344,0.0,25.0,0.3344
expected_goal_involvements,season_stats,0.3326,0.0,0.0,0.3326
threat,season_stats,0.3217,0.0,0.0,0.3217
selected_by_percent,season_stats,0.3138,0.0,0.0,0.3138
f5_was_fouled,form_last5,0.3107,0.0,25.0,0.3107
assists,season_stats,0.3079,0.0,0.0,0.3079
f5_tackles_won,form_last5,0.3068,0.0,25.0,0.3068
now_cost,season_stats,0.3049,0.0,0.0,0.3049
f5_clearances,form_last5,0.3043,0.0,25.0,0.3043
f5_interceptions,form_last5,0.2944,0.0,25.0,0.2944
is_new_signing,transfer,-0.285,0.0,0.0,0.285
is_new_to_league,transfer,-0.2847,0.0,0.0,0.2847
has_history,history,0.2847,0.0,0.0,0.2847
f5_fouls_committed,form_last5,0.2822,0.0,25.0,0.2822
f5_aerial_duels_won,form_last5,0.2803,0.0,25.0,0.2803
expected_goals,season_stats,0.2722,0.0,0.0,0.2722
goals_scored,season_stats,0.2682,0.0,0.0,0.2682
f5_chances_created,form_last5,0.2661,0.0,25.0,0.2661
f5_total_shots,form_last5,0.2537,0.0,25.0,0.2537
f5_xa,form_last5,0.2493,0.0,25.0,0.2493
f5_touches_opposition_box,form_last5,0.2352,0.0,26.2,0.2352
f5_shots_on_target,form_last5,0.2232,0.0,25.0,0.2232
f5_dribbled_past,form_last5,0.2223,0.0,26.2,0.2223
f5_blocks,form_last5,0.2152,0.0,26.2,0.2152
is_set_piece_taker,season_stats,0.2086,0.0,0.0,0.2086
f5_xg,form_last5,0.1971,0.0,25.0,0.1971
f5_successful_dribbles,form_last5,0.1941,0.0,25.0,0.1941
gk_saves,goalkeeper,0.1451,0.0,0.0,0.1451
f5_saves,form_last5,0.14,0.0,25.0,0.14
corners_and_indirect_freekicks_order,season_stats,0.1354,0.0,0.0,0.1354
red_cards,season_stats,0.1308,0.0,0.0,0.1308
direct_freekicks_order,season_stats,0.1274,0.0,0.0,0.1274
f5_xgot_faced,form_last5,0.1271,0.0,26.2,0.1271
gk_clean_sheets_per_90,goalkeeper,0.1209,0.0,2.7,0.1209
penalties_order,season_stats,0.117,0.0,0.0,0.117
availability_score,availability,0.1159,0.0,0.0,0.1159
f5_goals_conceded,form_last5,0.1132,0.0,25.0,0.1132
gk_saves_per_90,goalkeeper,0.1041,0.0,2.7,0.1041
is_available,availability,0.0998,0.0,0.0,0.0998
gk_penalties_saved,goalkeeper,0.0924,0.0,0.0,0.0924
days_since_last_start,history,-0.0905,0.0,0.0,0.0905
gk_goals_conceded_per_90,goalkeeper,0.0694,0.0,2.7,0.0694
f5_goals_prevented,form_last5,0.03,0.0002,26.2,0.03
days_since_prev_match,rest,-0.0095,0.1781,0.0,0.0095
days_until_next_match,rest,-0.0048,0.4913,0.0,0.0048
opp_strength_attack,opponent,0.0015,0.8306,0.0,0.0015
is_home,context,0.001,0.8885,0.0,0.001
opp_strength_overall,opponent,0.0007,0.9235,0.0,0.0007
opp_strength_defence,opponent,-0.0002,0.9753,0.0,0.0002
opp_elo,opponent,-0.0,0.9948,0.0,0.0
