feature,block,null_pct,n_unique,mean,std
is_home,context,0.0,2,0.5,0.5
position_is_inferred,position,0.0,2,0.266,0.442
is_available,availability,0.0,2,0.948,0.222
availability_score,availability,0.0,4,97.687,11.006
days_since_prev_match,rest,0.0,23,7.211,3.825
days_until_next_match,rest,0.0,24,6.985,4.04
is_new_signing,transfer,0.0,2,0.113,0.317
is_new_to_league,transfer,0.0,2,0.113,0.317
has_history,history,0.0,2,0.887,0.317
opp_elo,opponent,0.0,20,1833.555,90.954
opp_strength_overall,opponent,0.0,28,1168.35,83.425
opp_strength_attack,opponent,0.0,18,1139.629,84.442
opp_strength_defence,opponent,0.0,26,1197.105,93.113
started_last_1,history,0.0,2,0.425,0.494
started_last_3,history,0.0,4,1.239,1.302
started_last_5,history,0.0,6,1.992,2.055
start_rate_last_5,history,0.0,11,0.424,0.426
starts_season,history,0.0,38,6.867,8.425
minutes_season,history,0.0,2574,614.733,737.165
consecutive_starts,history,0.0,38,3.377,6.527
days_since_last_start,history,0.0,228,14.494,28.734
was_unused_sub_last_match,history,0.0,2,0.296,0.457
goals_scored,season_stats,0.0,27,0.823,1.959
assists,season_stats,0.0,22,0.757,1.474
expected_goals,season_stats,0.0,879,0.862,1.823
expected_assists,season_stats,0.0,561,0.536,0.952
expected_goal_involvements,season_stats,0.0,1146,1.398,2.461
clean_sheets,season_stats,0.0,20,1.93,2.693
goals_conceded,season_stats,0.0,71,9.385,11.494
expected_goals_conceded,season_stats,0.0,3628,9.362,11.372
defensive_contribution,season_stats,0.0,390,55.153,71.362
tackles,season_stats,0.0,109,10.333,15.217
clearances_blocks_interceptions,season_stats,0.0,289,24.318,40.838
recoveries,season_stats,0.0,290,29.188,41.575
yellow_cards,season_stats,0.0,13,1.142,1.787
red_cards,season_stats,0.0,3,0.031,0.175
minutes,season_stats,0.0,2552,614.437,736.56
starts,season_stats,0.0,38,6.861,8.416
form,season_stats,0.0,104,1.597,1.935
points_per_game,season_stats,22.7,88,2.063,1.585
total_points,season_stats,0.0,203,28.31,35.193
bonus,season_stats,0.0,38,1.976,3.75
bps,season_stats,0.0,694,110.356,140.454
ict_index,season_stats,0.0,1700,30.677,40.961
influence,season_stats,0.0,3065,137.64,181.228
creativity,season_stats,0.0,3785,88.771,144.427
threat,season_stats,0.0,760,80.749,139.512
selected_by_percent,season_stats,0.0,471,2.568,6.69
now_cost,season_stats,0.0,80,4.993,1.157
penalties_order,season_stats,0.0,6,0.166,0.673
corners_and_indirect_freekicks_order,season_stats,0.0,8,0.25,0.875
direct_freekicks_order,season_stats,0.0,7,0.184,0.757
yellows_from_ban,season_stats,0.0,6,4.179,1.208
gk_saves,goalkeeper,0.0,110,1.82,10.173
gk_penalties_saved,goalkeeper,0.0,4,0.013,0.134
gk_saves_per_90,goalkeeper,2.7,204,0.119,0.574
gk_clean_sheets_per_90,goalkeeper,2.7,52,0.011,0.061
gk_goals_conceded_per_90,goalkeeper,2.7,144,0.068,0.365
f5_minutes_played,form_last5,25.0,884,54.204,31.717
f5_accurate_passes,form_last5,25.0,714,19.821,16.575
f5_accurate_passes_percent,form_last5,25.0,757,68.248,25.329
f5_final_third_passes,form_last5,26.2,158,3.004,2.881
f5_chances_created,form_last5,25.0,45,0.491,0.606
f5_xg,form_last5,25.0,922,0.075,0.121
f5_xa,form_last5,25.0,12157,0.048,0.065
f5_total_shots,form_last5,25.0,53,0.657,0.745
f5_shots_on_target,form_last5,25.0,27,0.222,0.339
f5_touches_opposition_box,form_last5,26.2,89,1.377,1.488
f5_successful_dribbles,form_last5,25.0,42,0.363,0.513
f5_tackles_won,form_last5,25.0,39,0.541,0.587
f5_interceptions,form_last5,25.0,33,0.451,0.541
f5_clearances,form_last5,25.0,109,1.512,1.856
f5_blocks,form_last5,26.2,29,0.2,0.344
f5_aerial_duels_won,form_last5,25.0,70,0.881,1.072
f5_duels_won,form_last5,25.0,103,2.713,2.063
f5_dribbled_past,form_last5,26.2,33,0.374,0.453
f5_recoveries,form_last5,25.0,124,2.564,2.163
f5_saves,form_last5,25.0,53,0.15,0.652
f5_goals_conceded,form_last5,25.0,32,0.081,0.352
f5_goals_prevented,form_last5,26.2,622,0.0,0.097
f5_xgot_faced,form_last5,26.2,620,0.072,0.318
f5_fouls_committed,form_last5,25.0,38,0.601,0.585
f5_was_fouled,form_last5,25.0,41,0.568,0.603
is_set_piece_taker,season_stats,0.0,2,0.16,0.366
