path,season,competition,gameweek,scope,table,size
data/2024-2025/matches/GW1/matches.csv,2024-2025,All,1.0,gameweek,matches,6215
data/2024-2025/matches/GW2/matches.csv,2024-2025,All,2.0,gameweek,matches,6208
data/2024-2025/matches/GW3/matches.csv,2024-2025,All,3.0,gameweek,matches,6225
data/2024-2025/matches/GW4/matches.csv,2024-2025,All,4.0,gameweek,matches,6219
data/2024-2025/matches/GW5/matches.csv,2024-2025,All,5.0,gameweek,matches,6211
data/2024-2025/matches/GW6/matches.csv,2024-2025,All,6.0,gameweek,matches,6215
data/2024-2025/matches/GW7/matches.csv,2024-2025,All,7.0,gameweek,matches,6220
data/2024-2025/matches/GW8/matches.csv,2024-2025,All,8.0,gameweek,matches,6236
data/2024-2025/matches/GW9/matches.csv,2024-2025,All,9.0,gameweek,matches,6218
data/2024-2025/matches/GW10/matches.csv,2024-2025,All,10.0,gameweek,matches,6242
data/2024-2025/matches/GW11/matches.csv,2024-2025,All,11.0,gameweek,matches,6221
data/2024-2025/matches/GW12/matches.csv,2024-2025,All,12.0,gameweek,matches,6218
data/2024-2025/matches/GW13/matches.csv,2024-2025,All,13.0,gameweek,matches,6216
data/2024-2025/matches/GW14/matches.csv,2024-2025,All,14.0,gameweek,matches,6228
data/2024-2025/matches/GW15/matches.csv,2024-2025,All,15.0,gameweek,matches,6212
data/2024-2025/matches/GW16/matches.csv,2024-2025,All,16.0,gameweek,matches,6227
data/2024-2025/matches/GW17/matches.csv,2024-2025,All,17.0,gameweek,matches,6219
data/2024-2025/matches/GW18/matches.csv,2024-2025,All,18.0,gameweek,matches,6220
data/2024-2025/matches/GW19/matches.csv,2024-2025,All,19.0,gameweek,matches,6211
data/2024-2025/matches/GW20/matches.csv,2024-2025,All,20.0,gameweek,matches,6225
data/2024-2025/matches/GW21/matches.csv,2024-2025,All,21.0,gameweek,matches,6218
data/2024-2025/matches/GW22/matches.csv,2024-2025,All,22.0,gameweek,matches,6231
data/2024-2025/matches/GW23/matches.csv,2024-2025,All,23.0,gameweek,matches,6209
data/2024-2025/matches/GW24/matches.csv,2024-2025,All,24.0,gameweek,matches,6221
data/2024-2025/matches/GW25/matches.csv,2024-2025,All,25.0,gameweek,matches,6634
data/2024-2025/matches/GW26/matches.csv,2024-2025,All,26.0,gameweek,matches,6222
data/2024-2025/matches/GW27/matches.csv,2024-2025,All,27.0,gameweek,matches,6212
data/2024-2025/matches/GW28/matches.csv,2024-2025,All,28.0,gameweek,matches,6198
data/2024-2025/matches/GW29/matches.csv,2024-2025,All,29.0,gameweek,matches,5793
data/2024-2025/matches/GW30/matches.csv,2024-2025,All,30.0,gameweek,matches,6212
data/2024-2025/matches/GW31/matches.csv,2024-2025,All,31.0,gameweek,matches,6200
data/2024-2025/matches/GW32/matches.csv,2024-2025,All,32.0,gameweek,matches,6201
data/2024-2025/matches/GW33/matches.csv,2024-2025,All,33.0,gameweek,matches,6199
data/2024-2025/matches/GW34/matches.csv,2024-2025,All,34.0,gameweek,matches,6216
data/2024-2025/matches/GW35/matches.csv,2024-2025,All,35.0,gameweek,matches,6190
data/2024-2025/matches/GW36/matches.csv,2024-2025,All,36.0,gameweek,matches,6207
data/2024-2025/matches/GW37/matches.csv,2024-2025,All,37.0,gameweek,matches,6197
data/2024-2025/matches/GW38/matches.csv,2024-2025,All,38.0,gameweek,matches,6107
data/2024-2025/matches/matches.csv,2024-2025,All,,season,matches,163575
data/2024-2025/playermatchstats/GW1/playermatchstats.csv,2024-2025,All,1.0,gameweek,playermatchstats,53098
data/2024-2025/playermatchstats/GW2/playermatchstats.csv,2024-2025,All,2.0,gameweek,playermatchstats,53967
data/2024-2025/playermatchstats/GW3/playermatchstats.csv,2024-2025,All,3.0,gameweek,playermatchstats,52382
data/2024-2025/playermatchstats/GW4/playermatchstats.csv,2024-2025,All,4.0,gameweek,playermatchstats,53585
data/2024-2025/playermatchstats/GW5/playermatchstats.csv,2024-2025,All,5.0,gameweek,playermatchstats,52814
data/2024-2025/playermatchstats/GW6/playermatchstats.csv,2024-2025,All,6.0,gameweek,playermatchstats,52250
data/2024-2025/playermatchstats/GW7/playermatchstats.csv,2024-2025,All,7.0,gameweek,playermatchstats,52787
data/2024-2025/playermatchstats/GW8/playermatchstats.csv,2024-2025,All,8.0,gameweek,playermatchstats,52829
data/2024-2025/playermatchstats/GW9/playermatchstats.csv,2024-2025,All,9.0,gameweek,playermatchstats,52640
data/2024-2025/playermatchstats/GW10/playermatchstats.csv,2024-2025,All,10.0,gameweek,playermatchstats,51929
