drop,in_favour_of
has_history,is_new_signing
is_new_to_league,is_new_signing
opp_strength_overall,opp_strength_attack
opp_strength_defence,opp_strength_attack
started_last_3,start_rate_last_5
started_last_5,start_rate_last_5
f5_minutes_played,start_rate_last_5
minutes_season,minutes
starts,minutes
starts_season,minutes
influence,minutes
bps,minutes
total_points,minutes
defensive_contribution,minutes
expected_goals_conceded,minutes
clean_sheets,minutes
goals_conceded,minutes
ict_index,minutes
threat,expected_goal_involvements
expected_goals,expected_goal_involvements
goals_scored,expected_goal_involvements
expected_assists,creativity
f5_xgot_faced,f5_saves
f5_goals_conceded,f5_saves
